num_anions,num_cations,num_fillers,aver_a_elecneg,dev_a_elecneg,aver_c_elecneg,dev_c_elecneg,aver_f_elecneg,dev_f_elecneg,aver_a_ip,dev_a_ip,aver_c_ip,dev_c_ip,aver_f_ip,dev_f_ip,aver_a_ea,dev_a_ea,aver_c_ea,dev_c_ea,aver_f_ea,dev_f_ea,f_mass,total_mass,std_dev_f_mass,std_dev_a_mass,std_dev_c_mass,std_dev_f_frac,std_dev_a_frac,std_dev_c_frac,sum_f_frac,sum_a_frac,sum_c_frac,ratio_a_c,total_val_e,n_300,T,p_n,ZT
1.0,1.0,1.0,2.05,0.0,1.83,0.0,0.95,0.0,8.608389,0.0,7.9024681,0.0,5.69486745,0.0,1.04740119,0.0,0.15323634,0.0,0.052066,0.0,82.3628,1776.6036,0.0,0.0,0.0,0.0,0.0,0.0,0.94,12.08,4.0,3.02,94.28,5.68e+21,400.0,0,0.206331831
1.0,1.0,1.0,2.05,0.0,1.83,0.0,0.95,0.0,8.608389,0.0,7.9024681,0.0,5.69486745,0.0,1.04740119,0.0,0.15323634,0.0,0.052066,0.0,82.3628,1776.6036,0.0,0.0,0.0,0.0,0.0,0.0,0.94,12.08,4.0,3.02,94.28,5.68e+21,500.0,0,0.299290186
1.0,1.0,1.0,2.05,0.0,1.83,0.0,0.95,0.0,8.608389,0.0,7.9024681,0.0,5.69486745,0.0,1.04740119,0.0,0.15323634,0.0,0.052066,0.0,82.3628,1776.6036,0.0,0.0,0.0,0.0,0.0,0.0,0.94,12.08,4.0,3.02,94.28,5.68e+21,600.0,0,0.396700749
1.0,1.0,1.0,2.05,0.0,1.83,0.0,0.95,0.0,8.608389,0.0,7.9024681,0.0,5.69486745,0.0,1.04740119,0.0,0.15323634,0.0,0.052066,0.0,82.3628,1776.6036,0.0,0.0,0.0,0.0,0.0,0.0,0.94,12.08,4.0,3.02,94.28,5.68e+21,700.0,0,0.496925351
1.0,1.0,1.0,2.05,0.0,1.83,0.0,0.95,0.0,8.608389,0.0,7.9024681,0.0,5.69486745,0.0,1.04740119,0.0,0.15323634,0.0,0.052066,0.0,82.3628,1776.6036,0.0,0.0,0.0,0.0,0.0,0.0,0.94,12.08,4.0,3.02,94.28,5.68e+21,800.0,0,0.580812237
1.0,1.0,1.0,2.05,0.0,1.83,0.0,0.89,0.0,8.608389,0.0,7.9024681,0.0,5.2116646,0.0,1.04740119,0.0,0.15323634,0.0,0.144626,0.0,126.34084,1815.7112399999999,0.0,0.0,0.0,0.0,0.0,0.0,0.92,12.04,4.0,3.01,94.03999999999999,5.64e+21,300.0,0,0.109857068
1.0,1.0,1.0,2.05,0.0,1.83,0.0,0.89,0.0,8.608389,0.0,7.9024681,0.0,5.2116646,0.0,1.04740119,0.0,0.15323634,0.0,0.144626,0.0,126.34084,1815.7112399999999,0.0,0.0,0.0,0.0,0.0,0.0,0.92,12.04,4.0,3.01,94.03999999999999,5.64e+21,400.0,0,0.178798106
1.0,1.0,1.0,2.05,0.0,1.83,0.0,0.89,0.0,8.608389,0.0,7.9024681,0.0,5.2116646,0.0,1.04740119,0.0,0.15323634,0.0,0.144626,0.0,126.34084,1815.7112399999999,0.0,0.0,0.0,0.0,0.0,0.0,0.92,12.04,4.0,3.01,94.03999999999999,5.64e+21,500.0,0,0.259470941
1.0,1.0,1.0,2.05,0.0,1.83,0.0,0.89,0.0,8.608389,0.0,7.9024681,0.0,5.2116646,0.0,1.04740119,0.0,0.15323634,0.0,0.144626,0.0,126.34084,1815.7112399999999,0.0,0.0,0.0,0.0,0.0,0.0,0.92,12.04,4.0,3.01,94.03999999999999,5.64e+21,600.0,0,0.349267434
1.0,1.0,1.0,2.05,0.0,1.83,0.0,0.89,0.0,8.608389,0.0,7.9024681,0.0,5.2116646,0.0,1.04740119,0.0,0.15323634,0.0,0.144626,0.0,126.34084,1815.7112399999999,0.0,0.0,0.0,0.0,0.0,0.0,0.92,12.04,4.0,3.01,94.03999999999999,5.64e+21,700.0,0,0.418665513
